,y,x,optimal_steps_count,converged,reached_horizon,steps_taken,extra_steps,t_min_over_t,y_source_cm,x_source_cm,y_agent_cm,x_agent_cm,odor_field_file,odor_field_file_2
run_25,59.0,57.0,13.0,True,False,825.0,812.0,0.01575757575757576,44.0,38.0,72.0,38.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_26,61.0,53.0,19.0,True,False,837.0,818.0,0.022700119474313024,44.0,38.0,76.0,30.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_27,53.0,89.0,39.0,True,False,265.0,226.0,0.1471698113207547,38.0,38.0,54.0,102.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_28,24.0,52.0,25.0,True,False,455.0,430.0,0.054945054945054944,44.0,38.0,2.0,28.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_29,56.0,78.0,31.0,True,False,259.0,228.0,0.11969111969111969,44.0,40.0,66.0,82.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_30,27.0,61.0,21.0,True,False,727.0,706.0,0.02888583218707015,44.0,36.0,8.0,44.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_31,70.0,43.0,38.0,True,False,494.0,456.0,0.07692307692307693,38.0,34.0,88.0,6.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_32,25.0,75.0,37.0,True,False,217.0,180.0,0.17050691244239632,40.0,36.0,0.0,72.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_33,71.0,56.0,26.0,True,False,636.0,610.0,0.040880503144654086,20.0,40.0,72.0,38.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_34,73.0,61.0,31.0,True,False,317.0,286.0,0.09779179810725552,22.0,38.0,78.0,46.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_35,79.0,43.0,47.0,True,False,329.0,282.0,0.14285714285714285,20.0,40.0,88.0,12.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_36,46.0,83.0,26.0,True,False,362.0,336.0,0.0718232044198895,22.0,38.0,24.0,90.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_37,79.0,74.0,50.0,True,False,452.0,402.0,0.11061946902654868,18.0,36.0,86.0,70.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_38,79.0,52.0,38.0,True,False,326.0,288.0,0.1165644171779141,20.0,38.0,88.0,28.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_39,51.0,76.0,24.0,True,False,212.0,188.0,0.11320754716981132,24.0,40.0,36.0,78.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_40,36.0,81.0,32.0,False,True,1000.0,968.0,0.032,22.0,38.0,4.0,86.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_41,73.0,72.0,42.0,True,False,316.0,274.0,0.13291139240506328,28.0,38.0,84.0,68.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_42,64.0,75.0,36.0,True,False,420.0,384.0,0.08571428571428572,30.0,34.0,68.0,70.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_43,64.0,81.0,42.0,False,True,1000.0,958.0,0.042,26.0,34.0,64.0,82.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_44,43.0,75.0,19.0,True,False,225.0,206.0,0.08444444444444445,26.0,36.0,22.0,72.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_45,50.0,76.0,23.0,True,False,131.0,108.0,0.17557251908396945,24.0,34.0,34.0,72.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_46,44.0,84.0,27.0,True,False,357.0,330.0,0.07563025210084033,28.0,38.0,26.0,92.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_47,64.0,79.0,40.0,True,False,592.0,552.0,0.06756756756756757,26.0,38.0,64.0,82.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_48,32.0,81.0,36.0,False,True,1000.0,964.0,0.036,30.0,38.0,4.0,86.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_49,73.0,85.0,55.0,True,False,167.0,112.0,0.32934131736526945,30.0,34.0,86.0,90.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_50,67.0,71.0,35.0,True,False,321.0,286.0,0.10903426791277258,36.0,34.0,80.0,62.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_51,69.0,70.0,36.0,True,False,212.0,176.0,0.16981132075471697,40.0,30.0,88.0,56.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_52,62.0,76.0,35.0,True,False,449.0,414.0,0.0779510022271715,40.0,28.0,74.0,66.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_53,65.0,64.0,26.0,True,False,404.0,378.0,0.06435643564356436,26.0,30.0,66.0,44.0,/storage/arnaud/tank_odor_field_2024_06_13/35_35.h5,
run_54,36.0,66.0,17.0,True,False,653.0,636.0,0.026033690658499236,18.0,42.0,0.0,60.0,/storage/arnaud/tank_odor_field_2024_06_13/45_5.h5,
